station_name,date,count
103RD STREET-BROADWAY,2011-04-01,80616
103RD STREET-BROADWAY,2011-04-08,81292
103RD STREET-BROADWAY,2011-04-15,81994
103RD STREET-BROADWAY,2011-04-22,77725
103RD STREET-BROADWAY,2011-04-29,77528
103RD STREET-BROADWAY,2011-05-06,79279
103RD STREET-BROADWAY,2011-05-20,78625
103RD STREET-BROADWAY,2011-05-27,77622
103RD STREET-BROADWAY,2011-06-03,70901
103RD STREET-BROADWAY,2011-06-10,76504
103RD STREET-BROADWAY,2011-06-17,77357
103RD STREET-BROADWAY,2011-06-24,76879
103RD STREET-BROADWAY,2011-07-01,77096
103RD STREET-BROADWAY,2011-07-08,69413
103RD STREET-BROADWAY,2011-07-15,77595
103RD STREET-BROADWAY,2011-07-22,75896
103RD STREET-BROADWAY,2011-07-29,72862
103RD STREET-BROADWAY,2011-08-05,74940
103RD STREET-BROADWAY,2011-08-12,74302
103RD STREET-BROADWAY,2011-08-19,71950
103RD STREET-BROADWAY,2011-08-26,72086
103RD STREET-BROADWAY,2011-09-02,57372
103RD STREET-BROADWAY,2011-09-09,73673
103RD STREET-BROADWAY,2011-09-16,84330
103RD STREET-BROADWAY,2011-09-23,87237
103RD STREET-BROADWAY,2011-09-30,64394
103RD STREET-BROADWAY,2011-10-07,85838
103RD STREET-BROADWAY,2011-10-14,82164
103RD STREET-BROADWAY,2011-10-21,87090
103RD STREET-BROADWAY,2011-10-28,87900
103RD STREET-BROADWAY,2011-11-04,87849
103RD STREET-BROADWAY,2011-11-11,86687
103RD STREET-BROADWAY,2011-11-18,86835
103RD STREET-BROADWAY,2011-11-25,75763
103RD STREET-BROADWAY,2011-12-02,82942
103RD STREET-BROADWAY,2011-12-09,88773
103RD STREET-BROADWAY,2011-12-16,90296
103RD STREET-BROADWAY,2011-12-23,87047
103RD STREET-BROADWAY,2011-12-30,66878
103RD STREET-BROADWAY,2012-01-06,79988
103RD STREET-BROADWAY,2012-01-13,83314
103RD STREET-BROADWAY,2012-01-20,78273
103RD STREET-BROADWAY,2012-01-27,81811
103RD STREET-BROADWAY,2012-02-03,84592
103RD STREET-BROADWAY,2012-02-10,85470
103RD STREET-BROADWAY,2012-02-17,85133
103RD STREET-BROADWAY,2012-02-24,77449
103RD STREET-BROADWAY,2012-03-02,85133
103RD STREET-BROADWAY,2012-03-09,81426
103RD STREET-BROADWAY,2012-03-16,77866
103RD STREET-BROADWAY,2012-03-23,85444
103RD STREET-BROADWAY,2012-03-30,65152
103RD STREET-BROADWAY,2012-04-06,85031
103RD STREET-BROADWAY,2012-04-13,79462
103RD STREET-BROADWAY,2012-04-20,84779
103RD STREET-BROADWAY,2012-04-27,87175
103RD STREET-BROADWAY,2012-05-04,86772
103RD STREET-BROADWAY,2012-05-11,88600
103RD STREET-BROADWAY,2012-05-18,76587
103RD STREET-BROADWAY,2012-05-25,88019
103RD STREET-BROADWAY,2012-06-01,78785
103RD STREET-BROADWAY,2012-06-08,87706
103RD STREET-BROADWAY,2012-06-15,80611
103RD STREET-BROADWAY,2012-06-22,81931
103RD STREET-BROADWAY,2012-06-29,82051
103RD STREET-BROADWAY,2012-07-06,74228
103RD STREET-BROADWAY,2012-07-13,80249
103RD STREET-BROADWAY,2012-07-20,79818
103RD STREET-BROADWAY,2012-07-27,80391
103RD STREET-BROADWAY,2012-08-03,78669
103RD STREET-BROADWAY,2012-08-10,78061
103RD STREET-BROADWAY,2012-08-17,76043
103RD STREET-BROADWAY,2012-08-24,75703
103RD STREET-BROADWAY,2012-08-31,76168
103RD STREET-BROADWAY,2012-09-07,75535
103RD STREET-BROADWAY,2012-09-14,82476
103RD STREET-BROADWAY,2012-09-21,80835
103RD STREET-BROADWAY,2012-09-28,82429
103RD STREET-LEXINGTON AVE,2010-06-04,78954
103RD STREET-LEXINGTON AVE,2010-06-11,86635
103RD STREET-LEXINGTON AVE,2010-06-18,88993
103RD STREET-LEXINGTON AVE,2010-06-25,82249
103RD STREET-LEXINGTON AVE,2010-07-02,83073
103RD STREET-LEXINGTON AVE,2010-07-09,75816
103RD STREET-LEXINGTON AVE,2010-07-16,79972
103RD STREET-LEXINGTON AVE,2010-07-23,80427
103RD STREET-LEXINGTON AVE,2010-07-30,82114
103RD STREET-LEXINGTON AVE,2010-08-06,81447
103RD STREET-LEXINGTON AVE,2010-08-13,80312
103RD STREET-LEXINGTON AVE,2010-08-20,79317
103RD STREET-LEXINGTON AVE,2010-08-27,79450
103RD STREET-LEXINGTON AVE,2010-09-03,80744
103RD STREET-LEXINGTON AVE,2010-09-10,77609
103RD STREET-LEXINGTON AVE,2010-09-17,86513
103RD STREET-LEXINGTON AVE,2010-09-24,88294
103RD STREET-LEXINGTON AVE,2010-10-01,84768
103RD STREET-LEXINGTON AVE,2010-10-08,87232
103RD STREET-LEXINGTON AVE,2010-10-15,84622
103RD STREET-LEXINGTON AVE,2010-10-22,88615
103RD STREET-LEXINGTON AVE,2010-10-29,88504
103RD STREET-LEXINGTON AVE,2010-11-05,86505
103RD STREET-LEXINGTON AVE,2010-11-12,87761
103RD STREET-LEXINGTON AVE,2010-11-19,87245
103RD STREET-LEXINGTON AVE,2010-11-26,74922
103RD STREET-LEXINGTON AVE,2010-12-03,84539
103RD STREET-LEXINGTON AVE,2010-12-10,87805
103RD STREET-LEXINGTON AVE,2010-12-17,86571
103RD STREET-LEXINGTON AVE,2010-12-24,80394
103RD STREET-LEXINGTON AVE,2010-12-31,65082
103RD STREET-LEXINGTON AVE,2011-01-07,81097
103RD STREET-LEXINGTON AVE,2011-01-14,81759
103RD STREET-LEXINGTON AVE,2011-01-21,76805
103RD STREET-LEXINGTON AVE,2011-01-28,78673
103RD STREET-LEXINGTON AVE,2011-02-04,85858
103RD STREET-LEXINGTON AVE,2011-02-11,86451
103RD STREET-LEXINGTON AVE,2011-02-18,87390
103RD STREET-LEXINGTON AVE,2011-02-25,77174
103RD STREET-LEXINGTON AVE,2011-03-04,87376
103RD STREET-LEXINGTON AVE,2011-03-11,87547
103RD STREET-LEXINGTON AVE,2011-03-18,88500
103RD STREET-LEXINGTON AVE,2011-03-25,87720
103RD STREET-LEXINGTON AVE,2011-04-01,88239
103RD STREET-LEXINGTON AVE,2011-04-08,88618
103RD STREET-LEXINGTON AVE,2011-04-15,89680
103RD STREET-LEXINGTON AVE,2011-04-22,81699
103RD STREET-LEXINGTON AVE,2011-04-29,84840
103RD STREET-LEXINGTON AVE,2011-05-06,90076
103RD STREET-LEXINGTON AVE,2011-05-20,86832
103RD STREET-LEXINGTON AVE,2011-05-27,88368
103RD STREET-LEXINGTON AVE,2011-06-03,80076
103RD STREET-LEXINGTON AVE,2011-06-10,88361
103RD STREET-LEXINGTON AVE,2011-06-17,90881
103RD STREET-LEXINGTON AVE,2011-06-24,87102
103RD STREET-LEXINGTON AVE,2011-07-01,87286
103RD STREET-LEXINGTON AVE,2011-07-08,77769
103RD STREET-LEXINGTON AVE,2011-07-15,87034
103RD STREET-LEXINGTON AVE,2011-07-22,84769
103RD STREET-LEXINGTON AVE,2011-07-29,83557
103RD STREET-LEXINGTON AVE,2011-08-05,83710
103RD STREET-LEXINGTON AVE,2011-08-12,82989
103RD STREET-LEXINGTON AVE,2011-08-19,80574
103RD STREET-LEXINGTON AVE,2011-08-26,80187
103RD STREET-LEXINGTON AVE,2011-09-02,66201
103RD STREET-LEXINGTON AVE,2011-09-09,78773
103RD STREET-LEXINGTON AVE,2011-09-16,95450
103RD STREET-LEXINGTON AVE,2011-09-23,96519
103RD STREET-LEXINGTON AVE,2011-09-30,72441
103RD STREET-LEXINGTON AVE,2011-10-07,97547
103RD STREET-LEXINGTON AVE,2011-10-14,92015
103RD STREET-LEXINGTON AVE,2011-10-21,98681
103RD STREET-LEXINGTON AVE,2011-10-28,97230
103RD STREET-LEXINGTON AVE,2011-11-04,94309
103RD STREET-LEXINGTON AVE,2011-11-11,101008
103RD STREET-LEXINGTON AVE,2011-11-18,90192
103RD STREET-LEXINGTON AVE,2011-11-25,81426
103RD STREET-LEXINGTON AVE,2011-12-02,95097
103RD STREET-LEXINGTON AVE,2011-12-09,97849
103RD STREET-LEXINGTON AVE,2011-12-16,96951
103RD STREET-LEXINGTON AVE,2011-12-23,93514
103RD STREET-LEXINGTON AVE,2011-12-30,69870
103RD STREET-LEXINGTON AVE,2012-01-06,84390
103RD STREET-LEXINGTON AVE,2012-01-13,91992
103RD STREET-LEXINGTON AVE,2012-01-20,85395
103RD STREET-LEXINGTON AVE,2012-01-27,88327
103RD STREET-LEXINGTON AVE,2012-02-03,94105
103RD STREET-LEXINGTON AVE,2012-02-10,91901
103RD STREET-LEXINGTON AVE,2012-02-17,94183
103RD STREET-LEXINGTON AVE,2012-02-24,80122
103RD STREET-LEXINGTON AVE,2012-03-02,94284
103RD STREET-LEXINGTON AVE,2012-03-09,96132
103RD STREET-LEXINGTON AVE,2012-03-16,95277
103RD STREET-LEXINGTON AVE,2012-03-23,97066
103RD STREET-LEXINGTON AVE,2012-03-30,73599
103RD STREET-LEXINGTON AVE,2012-04-06,93324
103RD STREET-LEXINGTON AVE,2012-04-13,84391
103RD STREET-LEXINGTON AVE,2012-04-20,96619
103RD STREET-LEXINGTON AVE,2012-04-27,95589
103RD STREET-LEXINGTON AVE,2012-05-04,97572
103RD STREET-LEXINGTON AVE,2012-05-11,97121
103RD STREET-LEXINGTON AVE,2012-05-18,85359
103RD STREET-LEXINGTON AVE,2012-05-25,96168
103RD STREET-LEXINGTON AVE,2012-06-01,87804
103RD STREET-LEXINGTON AVE,2012-06-08,96228
103RD STREET-LEXINGTON AVE,2012-06-15,90882
103RD STREET-LEXINGTON AVE,2012-06-22,88923
103RD STREET-LEXINGTON AVE,2012-06-29,89202
103RD STREET-LEXINGTON AVE,2012-07-06,78977
103RD STREET-LEXINGTON AVE,2012-07-13,87093
103RD STREET-LEXINGTON AVE,2012-07-20,86312
103RD STREET-LEXINGTON AVE,2012-07-27,86967
103RD STREET-LEXINGTON AVE,2012-08-03,82257
103RD STREET-LEXINGTON AVE,2012-08-10,81069
103RD STREET-LEXINGTON AVE,2012-08-17,81964
103RD STREET-LEXINGTON AVE,2012-08-24,79847
103RD STREET-LEXINGTON AVE,2012-08-31,82726
103RD STREET-LEXINGTON AVE,2012-09-07,81144
103RD STREET-LEXINGTON AVE,2012-09-14,89734
103RD STREET-LEXINGTON AVE,2012-09-21,86536
